,accession,sporulation,domain,phylum,class,order,family
1434,RS_GCF_002967715.1,no,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae
1435,RS_GCF_002967765.1,no,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae
1436,RS_GCF_002968635.1,no,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae
1437,RS_GCF_002973595.1,no,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae
1438,RS_GCF_002979755.1,no,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae
1439,RS_GCF_002982075.1,no,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Labraceae
1440,RS_GCF_002982115.1,yes,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_A,f__Planococcaceae
1441,RS_GCF_002984305.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Pasteurellaceae
1442,RS_GCF_002995755.1,yes,d__Bacteria,p__Firmicutes_B,c__Moorellia,o__Moorellales,f__Moorellaceae
1443,RS_GCF_002998295.1,no,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Saccharofermentanales,f__Fastidiosipilaceae
1444,RS_GCF_002998925.1,no,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae
1445,RS_GCF_003001495.1,yes,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae
1446,RS_GCF_003001905.1,yes,d__Bacteria,p__Firmicutes,c__Bacilli,o__Thermoactinomycetales,f__Thermoactinomycetaceae
1447,RS_GCF_003001995.1,yes,d__Bacteria,p__Firmicutes_F,c__Halanaerobiia,o__Halobacteroidales,f__Halobacteroidaceae
1448,RS_GCF_003002065.1,yes,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Micromonosporaceae
1449,RS_GCF_003002095.1,yes,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptosporangiales,f__Streptosporangiaceae
1450,RS_GCF_003002895.1,no,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Dermatophilaceae
1451,RS_GCF_003003035.1,no,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Marinilabiliaceae
1452,RS_GCF_003003075.1,no,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Cellulomonadaceae
1453,RS_GCF_003003175.1,no,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Micrococcaceae
1454,RS_GCF_003003215.1,no,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae
1455,RS_GCF_003008615.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae
1456,RS_GCF_003010935.1,no,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A,f__Rhizobiaceae_A
1457,RS_GCF_003010955.1,no,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A,f__Rhizobiaceae_A
1458,RS_GCF_003012795.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Aeromonadaceae
1459,RS_GCF_003012815.1,no,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae
1460,RS_GCF_003014555.1,yes,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Jiangellales,f__Jiangellaceae
1461,RS_GCF_003014595.1,no,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae
1462,RS_GCF_003014675.1,no,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Microbacteriaceae
1463,RS_GCF_003014715.1,yes,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_H,f__Marinococcaceae
1464,RS_GCF_003019675.1,no,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae
1465,RS_GCF_003024655.1,yes,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae
1466,RS_GCF_003025595.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Vibrionaceae
1467,RS_GCF_003026285.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Vibrionaceae
1468,RS_GCF_003026365.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Vibrionaceae
1469,RS_GCF_003026495.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Vibrionaceae
1470,RS_GCF_003026815.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Vibrionaceae
1471,RS_GCF_003028655.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
1472,RS_GCF_003030305.1,no,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Propionibacteriales,f__Propionibacteriaceae
1473,RS_GCF_003031265.1,no,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae
1474,RS_GCF_003034225.1,no,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae
1475,RS_GCF_003043455.1,no,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae
1476,RS_GCF_003043945.1,no,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae
1477,RS_GCF_003044065.1,no,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_H,f__Salisediminibacteriaceae
1478,RS_GCF_003044425.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Neisseriaceae
1479,RS_GCF_003044445.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Neisseriaceae
1480,RS_GCF_003044565.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Neisseriaceae
1481,RS_GCF_003046545.1,no,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae
1482,RS_GCF_003047105.1,no,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae
1483,RS_GCF_003047265.1,no,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Propionibacteriales,f__Nocardioidaceae
1484,RS_GCF_003047295.1,no,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Propionibacteriales,f__Nocardioidaceae
1485,RS_GCF_003048375.1,no,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Campylobacteraceae
1486,RS_GCF_003048405.1,no,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Campylobacteraceae
1487,RS_GCF_003048535.1,no,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Campylobacteraceae
1488,RS_GCF_003048555.1,no,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Campylobacteraceae
1489,RS_GCF_003048575.1,no,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Campylobacteraceae
1490,RS_GCF_003048905.1,no,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Campylobacteraceae
1491,RS_GCF_003049085.1,no,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Campylobacteraceae
1492,RS_GCF_003049505.1,yes,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_A,f__Planococcaceae
1493,RS_GCF_003049525.1,yes,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_A,f__Planococcaceae
1494,RS_GCF_003049575.1,yes,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_A,f__Planococcaceae
1495,RS_GCF_003049705.1,no,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Campylobacteraceae
1496,RS_GCF_003049735.1,no,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Campylobacteraceae
1497,RS_GCF_003050865.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Nitrosomonadaceae
1498,RS_GCF_003053565.1,no,d__Bacteria,p__Firmicutes_F,c__Halanaerobiia,o__Halanaerobiales,f__Halanaerobiaceae
1499,RS_GCF_003053725.1,no,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae
1500,RS_GCF_003054025.1,no,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae
1501,RS_GCF_003054195.1,no,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae
1502,RS_GCF_003054245.1,yes,d__Bacteria,p__Firmicutes,c__Bacilli,o__Thermoactinomycetales,f__Thermoactinomycetaceae
1503,RS_GCF_003056305.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halomonadaceae
1504,RS_GCF_003058085.1,no,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae
1505,RS_GCF_003063475.1,yes,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
1506,RS_GCF_003065385.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
1507,RS_GCF_003072625.1,no,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae
1508,RS_GCF_003074135.1,no,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Euzebyales,f__Euzebyaceae
1509,RS_GCF_003075375.1,no,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Microbacteriaceae
1510,RS_GCF_003096635.1,no,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Peptoniphilaceae
1511,RS_GCF_003096715.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
1512,RS_GCF_003111685.1,no,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae
1513,RS_GCF_003112555.1,yes,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae
1514,RS_GCF_003122485.1,no,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae
1515,RS_GCF_003130075.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Pasteurellaceae
1516,RS_GCF_003130205.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Pasteurellaceae
1517,RS_GCF_003144535.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae
1518,RS_GCF_003148465.1,no,d__Bacteria,p__Thermotogota,c__Thermotogae,o__Petrotogales,f__Petrotogaceae
1519,RS_GCF_003148475.1,no,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae
1520,RS_GCF_003148495.1,no,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae
1521,RS_GCF_003148565.1,yes,d__Bacteria,p__Firmicutes,c__Alicyclobacillia,o__Tumebacillales,f__Tumebacillaceae
1522,RS_GCF_003148625.1,no,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Spirosomaceae
1523,RS_GCF_003148685.1,yes,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Micromonosporaceae
1524,RS_GCF_003148745.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Kangiellaceae
1525,RS_GCF_003148775.1,no,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae
1526,RS_GCF_003148845.1,no,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae
1527,RS_GCF_003149145.1,no,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Quadrisphaeraceae
1528,RS_GCF_003173335.1,no,d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanospirillaceae
1529,RS_GCF_003173355.1,no,d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanospirillaceae
1530,RS_GCF_003182075.1,no,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Tissierellales,f__Peptoniphilaceae
1531,RS_GCF_003182355.1,yes,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_B,f__DSM-18226
1532,RS_GCF_003182485.1,yes,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Geodermatophilaceae
1533,RS_GCF_003185915.1,no,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Micrococcaceae
1534,RS_GCF_003201195.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Nitrosomonadaceae
1535,RS_GCF_003201605.1,no,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_D,f__Amphibacillaceae
1536,RS_GCF_003201815.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
1537,RS_GCF_003202035.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Chromobacteriaceae
1538,RS_GCF_003202285.1,yes,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae
1539,RS_GCF_003202695.1,no,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Bifidobacteriaceae
1540,RS_GCF_003202755.1,no,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Bifidobacteriaceae
1541,RS_GCF_003205295.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae
1542,RS_GCF_003205495.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae
1543,RS_GCF_003205575.1,yes,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae
1544,RS_GCF_003205835.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae
1545,RS_GCF_003206135.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halomonadaceae
1546,RS_GCF_003206155.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halomonadaceae
1547,RS_GCF_003207815.1,no,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae
1548,RS_GCF_003207855.1,no,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae
1549,RS_GCF_003214255.1,no,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Blattabacteriaceae
1550,RS_GCF_003217235.1,no,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A,f__Rhizobiaceae_A
1551,RS_GCF_003217495.1,yes,d__Bacteria,p__Firmicutes,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae
1552,RS_GCF_003226255.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Alteromonadaceae
1553,RS_GCF_003226555.1,no,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae
1554,RS_GCF_003228315.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae
1555,RS_GCF_003236305.1,yes,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Micromonosporaceae
1556,RS_GCF_003240585.1,no,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae
1557,RS_GCF_003252725.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Pasteurellaceae
1558,RS_GCF_003252755.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Pasteurellaceae
1559,RS_GCF_003252795.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Pasteurellaceae
1560,RS_GCF_003253005.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Pasteurellaceae
1561,RS_GCF_003253435.1,no,d__Bacteria,p__Firmicutes,c__Bacilli,o__Mycoplasmatales,f__Metamycoplasmataceae
1562,RS_GCF_003253485.1,no,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae
1563,RS_GCF_003253565.1,yes,d__Bacteria,p__Chloroflexota,c__Ktedonobacteria,o__Ktedonobacterales,f__Ktedonobacteraceae
1564,RS_GCF_003254055.1,no,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae
1565,RS_GCF_003254115.1,no,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae
1566,RS_GCF_003254295.1,no,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae
1567,RS_GCF_003258965.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae
1568,RS_GCF_003259225.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Marinomonadaceae
1569,RS_GCF_003259525.1,no,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae
1570,RS_GCF_003259895.1,no,d__Bacteria,p__Firmicutes_F,c__Halanaerobiia,o__Halanaerobiales,f__Halanaerobiaceae
1571,RS_GCF_003259935.1,yes,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Anoxybacillaceae
1572,RS_GCF_003259955.1,no,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A,f__Rhizobiaceae_A
1573,RS_GCF_003261175.1,no,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Micrococcaceae
1574,RS_GCF_003264855.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae
1575,RS_GCF_003265155.1,no,d__Bacteria,p__Firmicutes,c__Bacilli,o__Mycoplasmatales,f__Mycoplasmoidaceae
1576,RS_GCF_003268775.1,yes,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
1577,RS_GCF_003284925.1,no,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae
1578,RS_GCF_003284935.1,no,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae
1579,RS_GCF_003284975.1,no,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae
1580,RS_GCF_003285015.1,yes,d__Bacteria,p__Firmicutes,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae
1581,RS_GCF_003287275.1,yes,d__Bacteria,p__Firmicutes,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae
1582,RS_GCF_003287405.1,no,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae
1583,RS_GCF_003287495.1,no,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae
1584,RS_GCF_003287875.1,no,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae
1585,RS_GCF_003313335.1,no,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae
1586,RS_GCF_003315075.1,yes,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_B,f__Bacillaceae_B
1587,RS_GCF_003315195.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
1588,RS_GCF_003315235.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Neisseriaceae
1589,RS_GCF_003324185.1,no,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae
1590,RS_GCF_003326675.1,no,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Thalassospiraceae
1591,RS_GCF_003326755.1,no,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Thalassospiraceae
1592,RS_GCF_003326795.1,no,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Thalassospiraceae
1593,RS_GCF_003330765.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
1594,RS_GCF_003335105.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae
1595,RS_GCF_003337175.1,no,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae
1596,RS_GCF_003345295.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Vibrionaceae
1597,RS_GCF_003347515.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
1598,RS_GCF_003349955.1,no,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Azospirillales,f__Azospirillaceae
1599,RS_GCF_003350035.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
1600,RS_GCF_003351405.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Pasteurellaceae
1601,RS_GCF_003352385.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Pasteurellaceae
1602,RS_GCF_003353015.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae
1603,RS_GCF_003363755.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae
1604,RS_GCF_003391095.1,yes,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Dermatophilaceae
1605,RS_GCF_003391395.1,no,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae
1606,RS_GCF_003399765.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Nitrococcales,f__AK92
1607,RS_GCF_003408845.1,no,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Bifidobacteriaceae
1608,RS_GCF_003431975.1,yes,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae
1609,RS_GCF_003437535.1,no,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae
1610,RS_GCF_003444775.1,no,d__Bacteria,p__Deinococcota,c__Deinococci,o__Deinococcales,f__Deinococcaceae
1611,RS_GCF_003464595.1,no,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae
1612,RS_GCF_003490595.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Pasteurellaceae
1613,RS_GCF_003490935.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Pasteurellaceae
1614,RS_GCF_003493605.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Pasteurellaceae
1615,RS_GCF_003493685.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Pasteurellaceae
1616,RS_GCF_003501885.1,yes,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae
1617,RS_GCF_003534205.1,no,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Listeriaceae
1618,RS_GCF_003585765.1,no,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Hymenobacteraceae
1619,RS_GCF_003589745.1,yes,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae
1620,RS_GCF_003591005.1,no,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae
1621,RS_GCF_003606265.1,yes,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae
1622,RS_GCF_003609775.1,no,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae
1623,RS_GCF_003610895.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae
1624,RS_GCF_003614235.1,yes,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae
1625,RS_GCF_003627995.1,no,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae
1626,RS_GCF_003628755.1,no,d__Bacteria,p__Firmicutes_A,c__Clostridia_A,o__Christensenellales,f__Christensenellaceae
1627,RS_GCF_003633725.1,yes,d__Bacteria,p__Firmicutes,c__Bacilli,o__DSM-22653,f__DSM-22653
1628,RS_GCF_003634045.1,no,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Maricaulaceae
1629,RS_GCF_003634575.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae
1630,RS_GCF_003634635.1,no,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Oleiphilaceae
1631,RS_GCF_003635025.1,yes,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae
1632,RS_GCF_003636935.1,no,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Helicobacteraceae
1633,RS_GCF_003637665.1,no,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Helicobacteraceae
